"abalone_id","gender","length","diameter","height","whole_weight","shucked_weight","viscera_weight","shell_weight","rings","collector","collector_first","collector_last","collector_organization","water","water_region","feb_temp"
"8",F,"0.545","0.425","0.125","0.768","0.294","0.1495","0.26","16","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"13",M,"0.49","0.38","0.135","0.5415","0.2175","0.095","0.19","11","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"15",F,"0.47","0.355","0.1","0.4755","0.1675","0.0805","0.185","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"20",M,"0.45","0.32","0.1","0.381","0.1705","0.075","0.115","9","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"22",I,"0.38","0.275","0.1","0.2255","0.08","0.049","0.085","10","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"23",F,"0.565","0.44","0.155","0.9395","0.4275","0.214","0.27","12","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"24",F,"0.55","0.415","0.135","0.7635","0.318","0.21","0.2","9","7",Iona,Connolly,Florida Atlantic University,"8",West Coast,"12.3"
"27",F,"0.58","0.45","0.185","0.9955","0.3945","0.272","0.285","11","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"32",F,"0.68","0.56","0.165","1.639","0.6055","0.2805","0.46","15","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"36",M,"0.465","0.355","0.105","0.4795","0.227","0.124","0.125","8","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"56",F,"0.5","0.4","0.14","0.6615","0.2565","0.1755","0.22","8","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"59",I,"0.245","0.19","0.06","0.086","0.042","0.014","0.025","4","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"70",I,"0.31","0.235","0.07","0.151","0.063","0.0405","0.045","6","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"80",F,"0.615","0.475","0.17","1.1025","0.4695","0.2355","0.345","14","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"84",M,"0.595","0.475","0.16","1.3175","0.408","0.234","0.58","21","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"94",F,"0.625","0.495","0.165","1.262","0.507","0.318","0.39","10","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"96",M,"0.665","0.535","0.195","1.606","0.5755","0.388","0.48","14","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"129",M,"0.7","0.535","0.16","1.7255","0.63","0.2635","0.54","19","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"132",F,"0.44","0.35","0.125","0.4035","0.175","0.063","0.129","9","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"144",M,"0.56","0.455","0.155","0.797","0.34","0.19","0.2425","11","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"177",I,"0.315","0.21","0.06","0.125","0.06","0.0375","0.035","5","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"183",F,"0.56","0.45","0.16","1.0235","0.429","0.268","0.3","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"223",F,"0.49","0.375","0.15","0.5755","0.22","0.144","0.19","9","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"259",F,"0.635","0.505","0.17","1.415","0.605","0.297","0.365","15","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"260",F,"0.59","0.475","0.16","1.1015","0.4775","0.2555","0.295","13","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"267",M,"0.52","0.45","0.15","0.895","0.3615","0.186","0.235","14","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"275",M,"0.63","0.515","0.155","1.259","0.4105","0.197","0.41","13","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"276",M,"0.655","0.54","0.215","1.844","0.7425","0.327","0.585","22","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"277",F,"0.66","0.53","0.185","1.3485","0.493","0.245","0.49","12","7",Iona,Connolly,Florida Atlantic University,"8",West Coast,"12.3"
"279",M,"0.635","0.525","0.205","1.484","0.55","0.3115","0.43","20","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"280",F,"0.515","0.425","0.135","0.712","0.2665","0.1605","0.25","11","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"295",M,"0.6","0.495","0.195","1.0575","0.384","0.19","0.375","26","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"302",F,"0.54","0.435","0.175","0.892","0.322","0.174","0.335","13","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"312",M,"0.56","0.44","0.14","0.971","0.443","0.2045","0.265","14","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"313",M,"0.595","0.455","0.195","1.3305","0.4595","0.3235","0.345","19","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"329",M,"0.36","0.295","0.105","0.241","0.0865","0.053","0.095","8","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"361",M,"0.605","0.49","0.18","1.227","0.48","0.287","0.35","18","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"378",F,"0.585","0.45","0.16","1.077","0.4995","0.2875","0.25","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"382",M,"0.535","0.42","0.145","0.791","0.33","0.189","0.25","10","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"394",I,"0.365","0.295","0.095","0.25","0.1075","0.0545","0.08","9","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"405",I,"0.44","0.345","0.12","0.365","0.1655","0.083","0.11","7","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"413",F,"0.58","0.46","0.12","0.9935","0.4625","0.2385","0.28","11","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"415",F,"0.605","0.495","0.17","1.2385","0.528","0.2465","0.39","14","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"424",I,"0.29","0.225","0.07","0.101","0.036","0.0235","0.035","8","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"444",I,"0.395","0.295","0.1","0.2715","0.134","0.0325","0.085","10","11",Naima,Reyes,University of Houston,"8",West Coast,"12.3"
"449",M,"0.605","0.5","0.175","1.098","0.4765","0.232","0.375","12","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"473",I,"0.43","0.34","0.12","0.3575","0.151","0.0645","0.1045","9","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"531",I,"0.53","0.42","0.185","0.752","0.299","0.156","0.205","20","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"538",M,"0.29","0.23","0.075","0.1165","0.043","0.0255","0.04","7","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"546",M,"0.32","0.245","0.075","0.1555","0.0585","0.038","0.049","11","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"550",I,"0.555","0.425","0.18","0.875","0.3695","0.2005","0.255","11","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"565",F,"0.47","0.355","0.13","0.5465","0.2005","0.126","0.185","14","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"568",I,"0.435","0.33","0.125","0.406","0.1685","0.1055","0.096","12","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"569",M,"0.28","0.21","0.08","0.1085","0.041","0.0265","0.0345","7","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"570",F,"0.41","0.32","0.115","0.387","0.165","0.1005","0.0985","11","11",Naima,Reyes,University of Houston,"8",West Coast,"12.3"
"593",I,"0.525","0.41","0.175","0.874","0.3585","0.207","0.205","18","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"602",F,"0.385","0.315","0.11","0.286","0.1225","0.0635","0.0835","10","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"605",I,"0.515","0.39","0.14","0.5555","0.2","0.1135","0.2235","12","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"646",I,"0.445","0.33","0.12","0.347","0.12","0.084","0.105","11","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"660",F,"0.585","0.475","0.185","0.9585","0.4145","0.1615","0.33","11","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"685",M,"0.51","0.4","0.14","0.6515","0.2455","0.1665","0.185","10","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"689",M,"0.525","0.4","0.17","0.7305","0.279","0.2055","0.195","11","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"700",F,"0.395","0.315","0.105","0.3515","0.1185","0.091","0.1195","16","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"706",M,"0.415","0.325","0.14","0.417","0.1535","0.1015","0.144","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"707",M,"0.315","0.25","0.09","0.203","0.0615","0.037","0.0795","11","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"709",M,"0.36","0.295","0.13","0.2765","0.0895","0.057","0.1005","10","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"711",I,"0.325","0.25","0.08","0.176","0.0595","0.0355","0.063","7","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"762",F,"0.55","0.44","0.155","0.946","0.313","0.1825","0.335","16","7",Iona,Connolly,Florida Atlantic University,"8",West Coast,"12.3"
"785",I,"0.215","0.155","0.06","0.0525","0.021","0.0165","0.015","5","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"810",F,"0.52","0.41","0.115","0.807","0.2855","0.179","0.235","12","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"813",I,"0.235","0.175","0.055","0.067","0.027","0.0125","0.018","6","11",Naima,Reyes,University of Houston,"8",West Coast,"12.3"
"819",I,"0.35","0.25","0.07","0.18","0.0655","0.048","0.054","6","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"822",I,"0.37","0.275","0.14","0.2215","0.097","0.0455","0.0615","6","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"824",I,"0.385","0.29","0.095","0.312","0.143","0.0635","0.086","6","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"837",M,"0.47","0.375","0.12","0.5805","0.266","0.0935","0.169","8","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"845",M,"0.525","0.395","0.13","0.7635","0.3375","0.1425","0.225","8","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"847",F,"0.54","0.42","0.14","0.805","0.369","0.1725","0.21","11","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"852",M,"0.555","0.435","0.145","0.9685","0.4985","0.168","0.2385","9","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"867",M,"0.605","0.455","0.16","1.1035","0.421","0.3015","0.325","9","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"869",F,"0.615","0.52","0.15","1.3435","0.629","0.2605","0.345","10","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"870",M,"0.615","0.51","0.15","1.296","0.545","0.3315","0.32","9","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"875",F,"0.625","0.49","0.2","1.3825","0.5895","0.285","0.381","11","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"884",M,"0.66","0.53","0.17","1.3905","0.5905","0.212","0.453","15","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"901",I,"0.3","0.235","0.08","0.131","0.05","0.0265","0.043","4","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"907",I,"0.325","0.24","0.075","0.187","0.0825","0.0445","0.05","6","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"918",I,"0.41","0.31","0.09","0.339","0.155","0.0695","0.09","7","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1035",F,"0.655","0.46","0.16","1.494","0.6895","0.331","0.1825","9","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"921",I,"0.415","0.33","0.09","0.3595","0.17","0.081","0.09","6","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"923",I,"0.42","0.315","0.1","0.3435","0.157","0.0795","0.09","6","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"950",M,"0.48","0.375","0.115","0.6765","0.3205","0.1065","0.17","6","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"996",M,"0.58","0.49","0.13","1.1335","0.586","0.2565","0.237","9","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"1028",F,"0.645","0.505","0.165","1.4325","0.684","0.308","0.336","8","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1031",F,"0.645","0.515","0.15","1.212","0.515","0.2055","0.385","10","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"1036",F,"0.655","0.51","0.175","1.6525","0.8515","0.3365","0.403","10","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1037",F,"0.66","0.505","0.185","1.528","0.69","0.3025","0.441","11","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1038",M,"0.66","0.535","0.19","1.5905","0.6425","0.297","0.5175","9","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1042",F,"0.675","0.57","0.225","1.587","0.739","0.2995","0.435","10","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1050",M,"0.715","0.565","0.175","1.9525","0.7645","0.4185","0.4135","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1053",M,"0.765","0.6","0.22","2.302","1.007","0.509","0.6205","12","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1054",I,"0.185","0.13","0.045","0.029","0.012","0.0075","0.0095","4","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1072",I,"0.385","0.29","0.08","0.2485","0.122","0.0495","0.065","7","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1076",I,"0.41","0.325","0.1","0.3245","0.132","0.072","0.106","6","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"1085",I,"0.445","0.345","0.105","0.409","0.1675","0.1015","0.117","7","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1101",I,"0.5","0.375","0.12","0.542","0.215","0.116","0.17","9","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1119",I,"0.535","0.39","0.125","0.599","0.2595","0.149","0.169","9","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1121",M,"0.545","0.39","0.135","0.7835","0.4225","0.1815","0.156","7","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1135",F,"0.57","0.445","0.145","0.8775","0.412","0.217","0.22","8","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1140",F,"0.575","0.47","0.165","0.869","0.435","0.197","0.238","9","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1152",M,"0.585","0.465","0.16","0.9555","0.4595","0.236","0.265","7","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1179",F,"0.65","0.5","0.19","1.464","0.6415","0.339","0.4245","9","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1210",F,"0.78","0.63","0.215","2.657","1.488","0.4985","0.586","11","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1214",I,"0.25","0.19","0.065","0.0835","0.039","0.015","0.025","5","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1224",I,"0.34","0.25","0.09","0.179","0.0775","0.033","0.055","6","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"1228",I,"0.35","0.255","0.09","0.1785","0.0855","0.0305","0.0525","8","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"1248",I,"0.395","0.305","0.105","0.284","0.1135","0.0595","0.0945","8","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1255",I,"0.425","0.325","0.11","0.3335","0.173","0.045","0.1","7","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"1257",I,"0.425","0.31","0.09","0.301","0.1385","0.065","0.08","7","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1258",I,"0.43","0.34","0","0.428","0.2065","0.086","0.115","8","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1259",I,"0.43","0.315","0.095","0.378","0.175","0.08","0.1045","8","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"1274",I,"0.475","0.38","0.12","0.441","0.1785","0.0885","0.1505","8","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1275",I,"0.475","0.36","0.11","0.492","0.211","0.11","0.15","8","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1302",I,"0.535","0.4","0.135","0.6025","0.2895","0.121","0.154","9","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1303",I,"0.535","0.415","0.15","0.5765","0.3595","0.135","0.225","8","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1316",I,"0.55","0.425","0.135","0.7305","0.3325","0.1545","0.215","9","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"1320",I,"0.555","0.425","0.145","0.7905","0.3485","0.1765","0.225","9","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1334",M,"0.57","0.435","0.125","0.8965","0.383","0.1835","0.275","9","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1372",M,"0.615","0.5","0.17","1.054","0.4845","0.228","0.295","10","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1384",F,"0.625","0.48","0.155","1.2035","0.5865","0.239","0.3185","12","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1414",M,"0.675","0.545","0.185","1.7375","0.876","0.3135","0.469","13","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1416",F,"0.695","0.565","0.19","1.7635","0.7465","0.399","0.4975","11","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"1421",F,"0.71","0.55","0.17","1.614","0.743","0.345","0.45","11","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1448",M,"0.44","0.32","0.12","0.4565","0.2435","0.092","0.1025","8","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1450",M,"0.45","0.335","0.125","0.4475","0.2165","0.126","0.11","6","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1455",I,"0.47","0.355","0.12","0.3685","0.126","0.0835","0.1365","6","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1466",I,"0.515","0.395","0.125","0.556","0.2695","0.096","0.17","8","11",Naima,Reyes,University of Houston,"8",West Coast,"12.3"
"1469",M,"0.52","0.4","0.125","0.559","0.254","0.139","0.149","8","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1471",I,"0.53","0.43","0.13","0.7045","0.346","0.1415","0.189","9","11",Naima,Reyes,University of Houston,"8",West Coast,"12.3"
"1490",F,"0.605","0.485","0.165","0.9515","0.4535","0.193","0.2765","11","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1496",F,"0.62","0.435","0.155","1.012","0.477","0.236","0.275","8","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
